Name,Price,Rating,NoOfRatings
"Apple iPhone 6 Plus (Silver, 16 GB)","₹40,999",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Gold, 128 GB)","₹59,999",4.7,21 Ratings 
"Apple iPhone 6 Plus (Space Grey, 128 GB)","₹56,999",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Gold, 64 GB)","₹71,500",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Space Grey, 64 GB)","₹48,999",4.5,"1,666 Ratings "
"Apple iPhone 6 (Space Grey, 32 GB)","₹30,780",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Gold, 32 GB)","₹30,780",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Space Grey, 64 GB)","₹24,490",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Grey, 128 GB)","₹52,000",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Silver, 128 GB)","₹49,000",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Silver, 64 GB)","₹24,490",4.4,"1,45,245 Ratings "
"Apple iPhone X (Silver, 256 GB)","₹69,990",4.6,"10,928 Ratings "
